0 ou 1,"Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Document Type	Source	EID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contreras-Cruz, M.A., Ayala-Ramirez, V., Alvarado-Velazco, P.B.	On the use of evolutionary programming for combinational logic circuits design	2014	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	8827			191	198				http://www.scopus.com/inward/record.url?eid=2-s2.0-84921521494&partnerID=40&md5=7796eb42a9e1610ca8b0ae394d03215b	""Electronics Engineering Department", Universidad de Guanajuato, DICIS, Carr. Salamanca-Valle de Santiago, Km. 3.5+1.8, Salamanca," Mexico""	""Contreras-Cruz", M.A., Electronics Engineering Department, Universidad de Guanajuato, DICIS, Carr. Salamanca-Valle de Santiago, Km. 3.5+1.8, Salamanca, Mexico; Ayala-Ramirez, V., Electronics Engineering Department, Universidad de Guanajuato, DICIS, Carr. Salamanca-Valle de Santiago, Km. 3.5+1.8, Salamanca, Mexico; Alvarado-Velazco, P.B., Electronics Engineering Department, Universidad de Guanajuato, DICIS, Carr. Salamanca-Valle de Santiago, Km. 3.5+1.8, Salamanca," Mexico""	""Â In this paper", we propose a new methodology to solve the combinational logic circuit design problem by using evolutionary programming. We have implemented a set of evolutionary operators to evolve combinational circuits. Our method uses a set of examples described by their truth table, and it automatically generates a combinational logic function that represents this set. We test our system by using some examples from the literature, and also," we present a set of examples addressing more complex problems to validate the performance of our method. Â© Springer International Publishing Switzerland 2014.""	Automated circuit design; Combinational logic; Evolutionary programming	Article	Scopus	2-s2.0-84921521494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hong, D., Woo, W.	A framework for virtual reality with tangible augmented reality-based user interface	2006	IEICE Transactions on Information and Systems	E89-D	1		45	52		1	10.1093/ietisy/e89-d.1.45	http://www.scopus.com/inward/record.url?eid=2-s2.0-32244433227&partnerID=40&md5=0df9569b3e491e62c0ae5398f4651318	""GIST U-VR Lab.", Gwangju, South Korea; GIST," South Korea""	""Hong", D., GIST U-VR Lab., Gwangju, South Korea, GIST, South Korea; Woo, W., GIST U-VR Lab., Gwangju," South Korea""	""In this paper", we propose a framework for virtual reality, I 2-NEXT, which enables users to interact with virtual objects by tangible objects in immersive networked virtual environment. The primary goal of this framework is to support rapid development of immersive and interactive virtual reality systems as well as various types of user interfaces. The proposed framework consists of user interface for interactions, immersive virtual environment, and networking interface. In this framework, we adopt several design patterns to guarantee that either developers or users (artists) can easily implement their VR applications without strong knowledge of VR techniques such as programming, libraries etc. One of the key features of this framework is the presence of the device module which supports a natural user interaction in a virtual environment. For example, the proposed framework provides users with tangible objects so that the users are able to manipulate virtual objects by touching real objects. The proposed framework also supports large scale stereoscopic display through clustering technique. To realize the effectiveness of the proposed framework, we have been developing an application for digital heritage reconstruction. Having been through development of the system, we believe that virtual reality technology is one of the promising technologies which enable users to experience realities in a digital space. Detailed explanations of each component and system architecture are presented Copyright Â© 2006 The Institute of Electronics," Information and Communication Engineers.""	Augmented reality; Framework; Immersion; Interaction; Tangible user interface; Virtual reality	Conference Paper	Scopus	2-s2.0-32244433227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[No author name available]	""2013 2nd International Conference on Information Technology and Management Innovation"," ICITMI 2013""	2013	Applied Mechanics and Materials	411-414								http://www.scopus.com/inward/record.url?eid=2-s2.0-84886442343&partnerID=40&md5=80bc203665aae4230e5c3626bd8def59			""The proceedings contain 642 papers. The special focus in this conference is on Information Processing and Information Security", Information Storage and Database System, Software Engineering, Computer Networks, Modern Technologies in Communication and Navigation, Multimedia Technology, Data and Signal Processing, Processing Image and Video, Applied and Computational Mathematics, Sensors, Detection Technology and Instrument, Automation, Control and Mechatronics and Artificial Intelligence and Optimization Algorithm. The topics include: Lattice-Based multi-signature schemes; implementation of RFID middleware based on hash chain; a novel RFID authentication protocol based on NTRU; roles generation for applications in RBAC model; a trust-aware access control policy for cloud data protection; information fusion based on improved D-S evidence theory; the design and realization of the single-block hash function for the short message; a secure cloud computing scaling model; multi-parameters predicting method of geo-pressure in carbonate formation; towards a computer-based information retrieval systems process; personalized web service recommendation based on user interest; towards capturing population-wide expertise via online professional social network systems; a low power design of sm4 cipher based on MUX S-box architecture; an impersonating-resilient key agreement scheme for wireless sensor networks; a review of scientific publishing platforms; an identity authentication scheme based on dynamic password technology; a model of LBS privacy protection based on collaboration; ontology-based semantic similarity measure with concept lattice; study on cloud computing clusters based on coordination method; the research on dynamics evolution patterns of online public opinion; EID system's privacy protection enhancement design; structured document model in digital community; improving frequent-term based text clustering with word belief network discussion based on document management system of chemical pump of Sinopec; computer aided organic synthesis based on graph grammars; effectiveness evaluation of information management system based on modified normal cloud model; exploring the reference management in parallel de-duplication; research focuses & frontiers of information management; the research of network cluster behavior mode in online public opinion; prototype system of knowledge management based on data mining; network features measurement of social media; design and practice of campus ''one-map'' project based on GIS; research on knowledge diffusion in cluster innovation network based on social network theory; study on knowledge representation of temporal conceptual graph in the context; visualization analysis of research overview in the graphene field; corpus-based study on explicitation of personal pronouns in Chinese-English translation; a word sense disambiguation approach for English-Thai translation; comparison of Mel frequency ceptrum coefficient and perceptual linear predictive in perceptual measurement of Chinese initials; corpus-based study on the explicitation strategies in political text translation; the statistical analysis for the structure of modern Tibetan initials and finals; research on Tibetan language synthesis system front-end text processing technology based on HMM; research on words segmentation technology in Chinese full text retrieval system; statistical analysis for standard Chinese syllables and phoneme system; the analysis of typical algorithms based on k-anonymity; influencing factors of the villager satisfaction with village committee based on factor analysis: evidence from Shaanxi, china; a on-demand mapping method on query request in relational database semantic query; behavior-based data item correlation in the dataspace; a survey of scientific metadata schema; a survey of scientific metadata schema; a spatial database management system for Urban and Rural planning; a histogram based analytical approximate query processing for massive data; metadata update strategy with high reliability; an improved XOS Dealing with nested loop; metadata driven data mapper development; a microblog classification algorithm for real-time search; research on the evaluation system of software industry; research on the evaluation system of software industry; a verification method of software acceptability; semi-automatic generation model of elements in XBRL taxonomy; contrastive study of MT systems and CAT tools; meat pigeon production management information system; a view oriented approach to modeling web navigation; towards checking bigraphical context-aware models; detection of design patterns in software design model using graph; study on ASP-based anti-spam management system; application of high performance parallel computing based on GPU; research and design on an improved TOTP authentication; internet of things: security-based application level lookup protocol; energy-saving in optical data center networks; a novel secure inter-domain routing for identifier/locator split network; a research to Ad-hoc and wireless sensor network; design and implementation of buffer control in EoS system; the designs of interconnected optical ring networks; management system of computer laboratory in liberal college; a design on USSD session flow based on SMPP protocol; improving OFDM carrier frequency synchronization using cyclic prefix; study on technology of multi-hop relay in wireless communication networks; a high efficiency multi-band antenna for mobile communication devices; a software-based and dither-less modulators bias control technique; real-time communication method over switched Ethernet; Win CE and Zigbee wireless sensor network-based design; a fuzzy robust filtering method for transfer alignment; parameter measuring system based on stm32; user range error analysis of multiple satellite navigation system; a multi-core architecture for video streaming; a look at the effects of the web-based instruction; collaborative filtering algorithm based on user clustering; coal gangue interface recognition based on MFCC research; an optimized pruning-based outlier detecting algorithm; study on Hodgkin-Huxley neuron model under disturbance; research advances in the anti-tumor angiogenesis of flavonoids; new progress about apoptosis factors of tumor cell; research on enzymatic hydrolysis of whey protein; research progress on the anti-Leukemia effect of Lycorine; narciclasine - a potential anticancer drug; traditional Chinese medicine based on network pharmacology; systematic evaluation on horizontal well performance in bottom water reservoir; contemporaneous faulting and of sandbody control in PN oilfield; a solution of quick update apply for power grid topology; modal analysis of torque transmission gear system based on FEM; consider ordering strategy research on carbon emissions; study on kinematics simulation of parallel machine tool; research on subway air-conditioning system design; optimization of biomass vacuum pyrolysis process based on GRNN; the experiment research of high-pressure air blowing ballast tanks; performance analysis of heat pump cycle with an expander; influence of polymer on resistance method measuring saturation; research and design on library intelligent management and decorative materials; interactive job shop experiments system on education; function research on network teaching system for college English; application of university information service; research of application-oriented knowledge visualization method; the online examination system of distance education; mobile internet oriented m-learning system; research on operation simulative training in information age; e-teaching model and application in English teaching; modular technology education in physics for engineering managers; the research and practice of embedded teaching reform based on CDIO; on multimedia teaching of hydraulic transmission; on relationship between teacher autonomy and learner autonomy; the study on performance measurement of green supply chain management; research on freeway traffic safety index based on toll data; the application of ant colony optimization algorithm in the flight landing scheduling problem; investigation of the current situation of transport packaging in network; RFID virtual coordinate location routing algorithm; application analysis of internet of things in intelligent transportation; agent-based crowd evacuation modeling in buildings; a service evolution supporting smart meeting room system; residential property management electronic system design and implementation; optimization models of predicting the per capita income of urban residents; influence factors identification of the effective of human capital allocation on fuzzy DEMATE; the contribution of information technology to economic growth; engineering of Xinjiang non electricity area and the project risk assessment; the contribution of information technology to economic growth; research on measure method for reconfigurability; the research on correlation among Ei," OCB and performance; system dynamics analysis on social rescue resources supply; the study of raw milk quality control; research and design on hotel chain intelligent management system; the influence of training step on price forecasting based on support vector machine; solving MRCPSP by a hybrid genetic algorithm; exploring semi-autonomous structure for emergency logistics multi-agent system; a case study of AGV scheduling for production material handling; design of manufacturing execution system in tire enterprises; evaluation to power corporations' efficiency based on network SBM model; geological exploration management system construction; virtual demonstrating system of geoscience survey teaching.""		Conference Review	Scopus	2-s2.0-84886442343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Zhang, X., Li, Y., Chen, X., Li, G., Rymer, W.Z., Zhou, P.	The effect of involuntary motor activity on myoelectric pattern recognition: A case study with chronic stroke patients	2013	Journal of Neural Engineering	10	4	46015				6	10.1088/1741-2560/10/4/046015	http://www.scopus.com/inward/record.url?eid=2-s2.0-84883205656&partnerID=40&md5=121c695ae34aa90c9df55746c452f729	""Institute of Biomedical Engineering", University of Science and Technology of China, Hefei, China; Institute of Biomedical and Health Engineering, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences (CAS), Shenzhen, China; Sensory Motor Performance Program (SMPP), Rehabilitation Institute of Chicago, IL, United States; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL," United States""	""Zhang", X., Institute of Biomedical Engineering, University of Science and Technology of China, Hefei, China; Li, Y., Institute of Biomedical Engineering, University of Science and Technology of China, Hefei, China; Chen, X., Institute of Biomedical Engineering, University of Science and Technology of China, Hefei, China; Li, G., Institute of Biomedical and Health Engineering, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences (CAS), Shenzhen, China; Rymer, W.Z., Sensory Motor Performance Program (SMPP), Rehabilitation Institute of Chicago, IL, United States, Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, United States; Zhou, P., Institute of Biomedical Engineering, University of Science and Technology of China, Hefei, China, Sensory Motor Performance Program (SMPP), Rehabilitation Institute of Chicago, IL, United States, Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL," United States""	""Objective. This study investigates the effect of the involuntary motor activity of paretic-spastic muscles on the classification of surface electromyography (EMG) signals. Approach. Two data collection sessions were designed for 8 stroke subjects to voluntarily perform 11 functional movements using their affected forearm and hand at relatively slow and fast speeds. For each stroke subject", the degree of involuntary motor activity present in the voluntary surface EMG recordings was qualitatively described from such slow and fast experimental protocols. Myoelectric pattern recognition analysis was performed using different combinations of voluntary surface EMG data recorded from the slow and fast sessions. Main results. Across all tested stroke subjects, our results revealed that when involuntary surface EMG is absent or present in both the training and testing datasets, high accuracies (>96%, >98%, respectively, averaged over all the subjects) can be achieved in the classification of different movements using surface EMG signals from paretic muscles. When involuntary surface EMG was solely involved in either the training or testing datasets, the classification accuracies were dramatically reduced (<89%, <85%, respectively). However, if both the training and testing datasets contained EMG signals with the presence and absence of involuntary EMG interference," high accuracies were still achieved (>97%). Significance. The findings of this study can be used to guide the appropriate design and implementation of myoelectric pattern recognition based systems or devices toward promoting robot-aided therapy for stroke rehabilitation. Â© 2013 IOP Publishing Ltd.""		Article	Scopus	2-s2.0-84883205656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hongmin, G., Jinbo, L., Haiyong, W., Haoyu, L.	Design and improvement of Printed IFA for Bluetooth system	2011	""Proceedings of the 2011 International Conference of Soft Computing and Pattern Recognition"," SoCPaR 2011""			6089142	212	216			10.1109/SoCPaR.2011.6089142	http://www.scopus.com/inward/record.url?eid=2-s2.0-83655192938&partnerID=40&md5=9bbb6faba97c2a10301f739a0dd4c598	""School of Information and Electronics", Beijing Institute of Technology, Beijing, China; School of Astronautics, Beijing University of Aeronautics and Astronautics, Beijing," China""	""Hongmin", G., School of Information and Electronics, Beijing Institute of Technology, Beijing, China; Jinbo, L., School of Information and Electronics, Beijing Institute of Technology, Beijing, China; Haiyong, W., School of Astronautics, Beijing University of Aeronautics and Astronautics, Beijing, China; Haoyu, L., School of Astronautics, Beijing University of Aeronautics and Astronautics, Beijing," China""	""The basic operating principle and structural characteristics of traditional Printed IFA (Inverted-F Antenna) are discussed in this paper. And the way of traditional Printed IFA's design has been introduced in detail. An antenna prototype with a small area on a phone board which with Bluetooth tool has been constructed", analyzed and improved with the software HFSS 10.0 of ANSOFT Corporation. The improved Printed IFA has a more small size than the traditional. This improved antenna with low cost, compact structure," easy feeding and convenient design could be applied in Bluetooth system well. Â© 2011 IEEE.""	antenna design; Bluetooth; Folded; HFSS; Printed Inverted-F Antenna (IFA)	Conference Paper	Scopus	2-s2.0-83655192938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kang, S., Cai, J.	Marginal hazards regression for retrospective studies within cohort with possibly correlated failure time data	2009	Biometrics	65	2		405	414		3	10.1111/j.1541-0420.2008.01077.x	http://www.scopus.com/inward/record.url?eid=2-s2.0-66949145018&partnerID=40&md5=0340ddfecf46a967f590f2b159c5f413	""Department of Epidemiology and Biostatistics", University of Georgia, Athens, GA 30602, United States; Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599-7420," United States""	""Kang", S., Department of Epidemiology and Biostatistics, University of Georgia, Athens, GA 30602, United States; Cai, J., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599-7420," United States""	""A retrospective dental study was conducted to evaluate the degree to which pulpal involvement affects tooth survival. Due to the clustering of teeth", the survival times within each subject could be correlated and thus the conventional method for the case-control studies cannot be directly applied. In this article, we propose a marginal model approach for this type of correlated case-control within cohort data. Weighted estimating equations are proposed for the estimation of the regression parameters. Different types of weights are also considered for improving the efficiency. Asymptotic properties of the proposed estimators are investigated and their finite sample properties are assessed via simulations studies. The proposed method is applied to the aforementioned dental study. Â© 2008," The International Biometric Society.""	Correlated case-control studies within cohort; Correlated failure times; Marginal hazard model; Survival analysis; Weighted estimating equations	Article	Scopus	2-s2.0-66949145018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yuan, H., Xue, C., Lu, Z.	Digital model retrieval for industrial products	2006	Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition)	36	3		397	401		1		http://www.scopus.com/inward/record.url?eid=2-s2.0-33746487417&partnerID=40&md5=faedd9cb6e4cb03e192857e415bc214f	""College of Mechanical Engineering", Southeast University, Nanjing 210096, China; School of Mechanical Engineering, Jiangsu University, Zhenjiang 212013," China""	""Yuan", H., College of Mechanical Engineering, Southeast University, Nanjing 210096, China, School of Mechanical Engineering, Jiangsu University, Zhenjiang 212013, China; Xue, C., College of Mechanical Engineering, Southeast University, Nanjing 210096, China; Lu, Z., School of Mechanical Engineering, Jiangsu University, Zhenjiang 212013," China""	""Based on projective contour a retrieval algorithm is proposed. First", the statistical arithmetical area is deduced by calculating the normal area and the maximum one is achieved, then the corresponding vector is gained and the projection orientation is determined. Secondly, the 3D model is transformed based on the projection orientation. So projection can be accomplished and three contours are achieved. Integrated similarity can then be calculated by comparing waves according to three contours. 3D models are transformed into 2D, which makes the comparability simple by decreasing the complexity of calculation. The results indicate that this method is promising in many fields, such as virtual reality, industrial design, animation," mechanical design and filming.""	3D model retrieval; Digital design; Pattern recognition; Shape-based	Article	Scopus	2-s2.0-33746487417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blanchard, G., Geman, D.	Hierarchical testing designs for pattern recognition	2005	Annals of Statistics	33	3		1155	1202		30	10.1214/009053605000000174	http://www.scopus.com/inward/record.url?eid=2-s2.0-9244242503&partnerID=40&md5=b82012193b5daebf0580bdba138900ce	""CNRS", Fraunhofer FIRST, Germany; Johns Hopkins University, United States; CNRS, France and IDA Group, Fraunhofer First, Berlin, Germany; Department of Applied Mathematics, Statistics Johns Hopkins University, Baltimore, MD 21218-2682," United States""	""Blanchard", G., CNRS, Fraunhofer FIRST, Germany, CNRS, France and IDA Group, Fraunhofer First, Berlin, Germany; Geman, D., Johns Hopkins University, United States, Department of Applied Mathematics, Statistics Johns Hopkins University, Baltimore, MD 21218-2682," United States""	""We explore the theoretical foundations of a """"twenty questions"""" approach to pattern recognition. The object of the analysis is the computational process itself rather than probability distributions (Bayesian inference) or decision boundaries (statistical learning). Our formulation is motivated by applications to scene interpretation in which there are a great many possible explanations for the data"," one (""""background"""") is statistically dominant", and it is imperative to restrict intensive computation to genuinely ambiguous regions. The focus here is then on pattern filtering: Given a large set y, of possible patterns or explanations, narrow down the true one Y to a small (random) subset YÌŒ â_‚ y," of """"detected"""" patterns to be subjected to further", more intense, processing. To this end, we consider a family of hypothesis tests for Y âˆˆ A versus the nonspecific alternatives Y âˆˆ A c. Each test has null type I error and the candidate sets A â_‚ y, are arranged in a hierarchy of nested partitions. These tests are then characterized by scope (|A|), power (or type II error) and algorithmic cost. We consider sequential testing strategies in which decisions are made iteratively, based on past outcomes," about which test to perform next and when to stop testing. The set YÌŒ is then taken to be the set of patterns that have not been ruled out by the tests performed. The total cost of a strategy is the sum of the """"testing cost"""" and the """"postprocessing cost"""" (proportional to |YÌŒ|) and the corresponding optimization problem is analyzed. As might be expected", under mild assumptions good designs for sequential testing strategies exhibit a steady progression from broad scope coupled with low power to high power coupled with dedication to specific explanations. In the assumptions ensuring this property a key role is played by the ratio cost/power. These ideas are illustrated in the context of detecting rectangles amidst clutter. Â© Institute of Mathematical Statistics," 2005.""	Classification; Coarse-to-fine search; Hierarchical designs; Pattern recognition; Scene interpretation; Sequential hypothesis testing	Article	Scopus	2-s2.0-9244242503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yang, S., Manzer, A., Tzerpos, V.	Measuring the quality of design pattern detection results	2015	""2015 IEEE 22nd International Conference on Software Analysis", Evolution, and Reengineering," SANER 2015 - Proceedings""			7081815	53	62			10.1109/SANER.2015.7081815	http://www.scopus.com/inward/record.url?eid=2-s2.0-84928674354&partnerID=40&md5=5ee6b5065631d0dec95b66d3020181a9	""York University", Toronto, ON," Canada""	""Yang", S., York University, Toronto, ON, Canada; Manzer, A., York University, Toronto, ON, Canada; Tzerpos, V., York University, Toronto, ON," Canada""	""Detecting design patterns in large software systems is a common reverse engineering task that can help the comprehension process of the system's design. While several design pattern detection tools presented in the literature are capable of detecting design patterns automatically", evaluating these detection results is usually done in a manual and subjective fashion. Differences in design pattern definitions, as well as pattern instance counting and presenting, exacerbate the difficulty of evaluating design pattern detection results. In this paper, we present a novel approach to evaluating and comparing design pattern detection results. Our approach, called MoRe, introduces a novel way to present design pattern instances in a uniform fashion. Based on this characterization of design pattern instances, we propose four measures for design pattern detection evaluation that convey a concise assessment of the quality of the results produced by a given detection method. We have implemented these measures," and present case studies that showcase their usefulness. Â© 2015 IEEE.""		Conference Paper	Scopus	2-s2.0-84928674354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Lozano, J., Arroyo, T., Santos, J.P., Cabellos, J.M., Horrillo, M.C.	Electronic nose for wine ageing detection	2008	""Sensors and Actuators"," B: Chemical""	133	1		180	186		46	10.1016/j.snb.2008.02.011	http://www.scopus.com/inward/record.url?eid=2-s2.0-46749159314&partnerID=40&md5=71619203a89aeda2d6f3addac4836df5	""Laboratorio de Sensores", Consejo Superior de Investigaciones CientÃ_ficas (CSIC), C/Serrano 144, 28006 Madrid, Spain; Department AgroalimentaciÃ_n, Instituto MadrileÃ±o De InvestigaciÃ_n Y Desarrollo Rural, Agrario Y Alimentario (IMIDRA), Km 38.2 N-II, 28800 AlcalÃ¡ de Henares, Spain; Grupo de ClasificaciÃ_n de Patrones y AnÃ¡lisis de ImÃ¡genes, Universidad de Extremadura., Av. Elvas s/n, 06006 Badajoz," Spain""	""Lozano", J., Grupo de ClasificaciÃ_n de Patrones y AnÃ¡lisis de ImÃ¡genes, Universidad de Extremadura., Av. Elvas s/n, 06006 Badajoz, Spain; Arroyo, T., Department AgroalimentaciÃ_n, Instituto MadrileÃ±o De InvestigaciÃ_n Y Desarrollo Rural, Agrario Y Alimentario (IMIDRA), Km 38.2 N-II, 28800 AlcalÃ¡ de Henares, Spain; Santos, J.P., Laboratorio de Sensores, Consejo Superior de Investigaciones CientÃ_ficas (CSIC), C/Serrano 144, 28006 Madrid, Spain; Cabellos, J.M., Department AgroalimentaciÃ_n, Instituto MadrileÃ±o De InvestigaciÃ_n Y Desarrollo Rural, Agrario Y Alimentario (IMIDRA), Km 38.2 N-II, 28800 AlcalÃ¡ de Henares, Spain; Horrillo, M.C., Laboratorio de Sensores, Consejo Superior de Investigaciones CientÃ_ficas (CSIC), C/Serrano 144, 28006 Madrid," Spain""	""This paper reports a novel application of an electronic nose (e-nose) for recognition and detection of wine ageing. Two different measurements are performed with the following samples: first", in an experimental cellar the same wine is aged in different type of oak barrel (French and American oak) and during different time (0,3, 6 and 12 months) and second," several wines made with the same grape variety and from different wine cellars aged in French and American oak. This identification has a great importance for origin denominations for control of frauds. The e-nose is home-developed and home-fabricated for this purpose: a tin oxide multisensor prepared with RF sputtering onto an alumina substrate and doped with chromium and indium is used. The sampling method employed is static headspace followed by a dynamic injection. Linear techniques like principal component analysis (PCA) and nonlinear ones like probabilistic neural networks (PNN) are used for pattern recognition. A classification success rate (correct predicted number over total number of measurements) of 97% and 84% is achieved in detection of the different ageing process experimented by the wines tested. Â© 2008 Elsevier B.V. All rights reserved.""	Artificial olfactory system; Odor recognition; Wine ageing	Article	Scopus	2-s2.0-46749159314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wang, X., Hu, L.	Technological sheet region recognition of garment piece on sweater CAD	2008	9th International Conference on Computer-Aided Industrial Design and Conceptual Design: Multicultural Creation and Design - CAIDCD 2008			4730640	604	608			10.1109/CAIDCD.2008.4730640	http://www.scopus.com/inward/record.url?eid=2-s2.0-62449225983&partnerID=40&md5=30b78457421fd862af9c2c00bc3bd247	""School of Garment", Zhongyuan University of Technology, Zhengzhou," China""	""Wang", X., School of Garment, Zhongyuan University of Technology, Zhengzhou, China; Hu, L., School of Garment, Zhongyuan University of Technology, Zhengzhou," China""	""In this paper", a new computer pattern recognition method based on fuzzy cluster theory is presented. Firstly," node of piece figure date structure is found using """"directional judgment method"""". The random pieces are classified to garment pieces", sleeve pieces, trousers pieces and so on using fuzzy theory, thus the pieces of sweater have an appropriate classifying to fit calculation of technological sheet. We also put forward knot mapping method which can divide a sweater piece into many of symmetry region which is named to Technological Sheet Calculating Region (TSCR), computer system can confirm final TSRCs according precision requirement of technological sheet. Finally," technological sheet of TSRCs which is recognized by computer is calculated by dimension of top and bottom border. Application of sweater CAD demonstrates this method can calculate rapidly the technological sheet of sweater pieces. Â© 2008 IEEE.""	CAD; Garment pieces; Recognition; Sweater; Technological sheet	Conference Paper	Scopus	2-s2.0-62449225983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wang, J.-F., Yen, C., Yen, C.-W., Nagurka, M.L.	A two-stage committee machine of neural networks	2009	""Journal of the Chinese Institute of Engineers", Transactions of the Chinese Institute of Engineers,"Series A/Chung-kuo Kung Ch'eng Hsuch K'an""	32	2		169	178		1		http://www.scopus.com/inward/record.url?eid=2-s2.0-63449128472&partnerID=40&md5=1add12741b7e4b7b42d2dc97a9afc8f5	""Department of Mechanical and Electro-Mechanical Engineering", National Sun Yat-Sen University, Kaohsiung 80024, Taiwan; Department of Mechanical Engineering, Marquette University, Milwaukee, WI 53201-1881," United States""	""Wang", J.-F., Department of Mechanical and Electro-Mechanical Engineering, National Sun Yat-Sen University, Kaohsiung 80024, Taiwan; Yen, C., Department of Mechanical and Electro-Mechanical Engineering, National Sun Yat-Sen University, Kaohsiung 80024, Taiwan; Yen, C.-W., Department of Mechanical and Electro-Mechanical Engineering, National Sun Yat-Sen University, Kaohsiung 80024, Taiwan; Nagurka, M.L., Department of Mechanical Engineering, Marquette University, Milwaukee, WI 53201-1881," United States""	""In solving pattern recognition problems", many ensemble methods have been proposed to replace a single classifier by a classifier committee. These methods can be divided roughly into two categories: serial and parallel approaches. In the serial approach, component classifiers are created by focusing on different parts of the training set in different learning phases. In contrast, without paying special attention to any part of the dataset, the parallel approach generates classifiers independently. By integrating these two techniques and by using a neural network approach for the base classifier, this work proposes a design method for a two-stage committee machine. In the first stage of the approach the entire dataset is used to train an averaging ensemble. Based on the classification results of this first stage, hard-to-classify samples are selected and sent to the second stage. To improve the classification accuracy for these samples," a computationally more intensive bagging ensemble is employed in the second stage. These two neural network ensembles work in series whereas the component neural networks in each of the ensembles are trained in parallel. Experimental results demonstrate the accuracy and robustness of the proposed approach.""	Adaboost; Bagging; Committee machine; Neural network	Article	Scopus	2-s2.0-63449128472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
